timestamp(ms),odrv0_pos,cmd_pos,u,velocity,
"1771539193.267","1",,,,
"1771539193.268",,"1","-0.09","-0.22",
"1771539193.277","1","1","-0.09",,
"1771539193.278",,,,"-0.26",
"1771539193.287","1",,,,
"1771539193.288",,"1","-0.09","-0.07",
"1771539193.297","1","1","-0.09","-0.07",
"1771539193.307","1","1","-0.09","-0.14",
"1771539193.318","1","1","-0.09","0",
"1771539193.327","1","1","-0.09","0.01",
"1771539193.339","1",,,,
"1771539193.34",,"1","-0.09","-0.01",
"1771539193.348","1","1","-0.09","0",
"1771539193.357","1","1","-0.09","0.03",
"1771539193.367","1","1",,,
"1771539193.368",,,"-0.08","-0.03",
"1771539193.377","1","1","-0.08",,
"1771539193.378",,,,"-0.02",
"1771539193.388","1",,,,
"1771539193.389",,"1","-0.08","0.04",
"1771539193.397","1","1","-0.08","0.05",
"1771539193.408","1","1","-0.08","0.02",
"1771539193.418","1",,,,
"1771539193.419",,"1","-0.08","0.01",
"1771539193.427","1",,,,
"1771539193.428",,"1","-0.08","-0.01",
"1771539193.438","1","1","-0.08","0.01",
"1771539193.447","1","1","-0.08","0.04",
"1771539193.457","1","1","-0.08","-0.04",
"1771539193.467","1",,,,
"1771539193.468",,"1","-0.08","0.01",
"1771539193.478","1","1","-0.08","-0.03",
"1771539193.488","1","1",,,
"1771539193.489",,,"-0.08","-0.02",
"1771539193.497","1","1","-0.08","0.04",
"1771539193.507","1","1","-0.08","0",
"1771539193.517","1","1",,,
"1771539193.518",,,"-0.08","0.01",
"1771539193.528","1","1","-0.07",,
"1771539193.529",,,,"-0.03",
"1771539193.538","1",,,,
"1771539193.539",,"1","-0.07","-0.05",
"1771539193.548","1",,,,
"1771539193.549",,"1","-0.07","0.01",
"1771539193.557","1",,,,
"1771539193.558",,"1","-0.07","-0.06",
"1771539193.567","1","1","-0.07",,
"1771539193.568",,,,"-0.02",
"1771539193.577","1","1","-0.07","0",
"1771539193.587","1","1","-0.07","0.02",
"1771539193.597","1",,,,
"1771539193.598",,"1","-0.07","0.02",
"1771539193.607","1",,,,
"1771539193.608",,"1","-0.07","0.04",
"1771539193.618","1","1","-0.07","-0.06",
"1771539193.627","1","1","-0.07","0.02",
"1771539193.638","1","1","-0.07","-0.03",
"1771539193.647","1","1",,,
"1771539193.648",,,"-0.07","0.04",
"1771539193.658","1","1",,,
"1771539193.659",,,"-0.07","0",
"1771539193.668","1",,,,
"1771539193.669",,"1","-0.07","0.03",
"1771539193.677","1",,,,
"1771539193.678",,"1","-0.07","0.02",
"1771539193.687","1",,,,
"1771539193.688",,"1","-0.07","0.03",
"1771539193.697","1","1","-0.06",,
"1771539193.698",,,,"-0.06",
"1771539193.707","1","1","-0.07","0.03",
"1771539193.717","0.98","-1","-0.58","-4.92",
"1771539193.727","0.81","-1","-0.22",,
"1771539193.728",,,,"-20.57",
"1771539193.738","0.57","-1","-0.11","-23.1",
"1771539193.747","0.38","-1","-0.18","-17.03",
"1771539193.757","0.25","-1","-0.24","-12.26",
"1771539193.767","0.11","-1","-0.15","-14.75",
"1771539193.777","-0.07","-1","0.01","-20.35",
"1771539193.787","-0.29","-1","0.1","-21.82",
"1771539193.797","-0.49","-1","0.07","-17.89",
"1771539193.807","-0.62","-1","-0.03","-10.64",
"1771539193.817","-0.68","-1","-0.12","-5.34",
"1771539193.827","-0.73","-1","-0.13","-4.38",
"1771539193.838","-0.78","-1","-0.1","-5.05",
"1771539193.847","-0.82","-1","-0.11","-4.11",
"1771539193.857","-0.84","-1","-0.16","-1.52",
"1771539193.867","-0.85","-1","-0.18","-0.04",
"1771539193.877","-0.85","-1","-0.17","-0.62",
"1771539193.887","-0.86","-1","-0.16","-0.87",
"1771539193.897","-0.87","-1","-0.15","-1.64",
"1771539193.907","-0.89","-1","-0.13","-2.11",
"1771539193.917","-0.91","-1","-0.14","-1.36",
